epoch,step,loss,lr,time_seconds
1,2007,0.120638,0.00010000,124.82
2,4014,0.038035,0.00010000,124.05
3,6021,0.096737,0.00010000,117.30
4,8028,0.042692,0.00010000,120.78
5,10035,0.038699,0.00010000,120.56
6,12042,0.036497,0.00010000,122.56
7,14049,0.033910,0.00010000,118.23
8,16056,0.035258,0.00010000,121.35
9,18063,0.034575,0.00010000,119.05
10,20070,0.033925,0.00010000,114.58
11,22077,0.032032,0.00010000,115.55
12,24084,0.030049,0.00010000,113.88
13,26091,0.032859,0.00010000,120.00
14,28098,0.030861,0.00010000,118.11
15,30105,0.030507,0.00010000,117.68
16,32112,0.030937,0.00010000,117.03
17,34119,0.028906,0.00010000,119.61
18,36126,0.030094,0.00010000,119.57
19,38133,0.027692,0.00010000,120.03
20,40140,0.028504,0.00010000,120.07
21,42147,0.028538,0.00010000,120.29
22,44154,0.027274,0.00010000,116.50
23,46161,0.028989,0.00010000,120.21
24,48168,0.029362,0.00010000,117.02
25,50175,0.028365,0.00010000,121.65
26,52182,0.027020,0.00010000,120.30
27,54189,0.026635,0.00010000,119.70
28,56196,0.027060,0.00010000,118.30
29,58203,0.027116,0.00010000,117.64
30,60210,0.027363,0.00010000,119.98
31,62217,0.026141,0.00010000,120.19
32,64224,0.024867,0.00010000,117.51
33,66231,0.026355,0.00010000,120.54
34,68238,0.025715,0.00010000,116.52
35,70245,0.024539,0.00010000,113.03
36,72252,0.023901,0.00010000,115.49
37,74259,0.025028,0.00010000,115.20
38,76266,0.025950,0.00010000,110.52
39,78273,0.024313,0.00010000,113.42
40,80280,0.025736,0.00010000,115.02
41,82287,0.023854,0.00010000,117.42
42,84294,0.024664,0.00010000,120.94
43,86301,0.024658,0.00010000,121.03
44,88308,0.024695,0.00010000,120.99
45,90315,0.024219,0.00010000,119.25
46,92322,0.023794,0.00010000,120.58
47,94329,0.023088,0.00010000,118.77
48,96336,0.023439,0.00010000,115.44
49,98343,0.023924,0.00010000,115.61
50,100350,0.024033,0.00010000,113.27
51,102357,0.024133,0.00010000,117.63
52,104364,0.022580,0.00010000,120.43
53,106371,0.023524,0.00010000,115.56
54,108378,0.022500,0.00010000,118.51
55,110385,0.023151,0.00010000,118.42
56,112392,0.022435,0.00010000,120.83
57,114399,0.022412,0.00010000,119.37
58,116406,0.022494,0.00010000,117.21
59,118413,0.021800,0.00010000,115.95
60,120420,0.020360,0.00010000,114.31
61,122427,0.021870,0.00010000,117.66
62,124434,0.021902,0.00010000,120.30
63,126441,0.021310,0.00010000,117.37
64,128448,0.021383,0.00010000,116.08
65,130455,0.021814,0.00010000,114.82
66,132462,0.021765,0.00010000,118.92
67,134469,0.020890,0.00010000,120.77
68,136476,0.021121,0.00010000,119.94
69,138483,0.021121,0.00010000,121.84
70,140490,0.020873,0.00010000,119.55
71,142497,0.021344,0.00010000,118.87
72,144504,0.021258,0.00010000,115.55
73,146511,0.021226,0.00010000,114.29
74,148518,0.020068,0.00010000,119.00
75,150525,0.020924,0.00010000,115.28
76,152532,0.020522,0.00010000,118.25
77,154539,0.021072,0.00010000,118.09
78,156546,0.018922,0.00010000,119.42
79,158553,0.020441,0.00010000,116.64
80,160560,0.020373,0.00010000,118.11
81,162567,0.019462,0.00010000,114.69
82,164574,0.020328,0.00010000,117.81
83,166581,0.020200,0.00010000,120.81
84,168588,0.019349,0.00010000,114.34
85,170595,0.020442,0.00010000,117.52
86,172602,0.020151,0.00010000,116.27
87,174609,0.019430,0.00010000,116.20
88,176616,0.019977,0.00010000,119.23
89,178623,0.020189,0.00010000,121.45
90,180630,0.019177,0.00010000,117.33
91,182637,0.020114,0.00010000,119.79
92,184644,0.019055,0.00010000,118.79
93,186651,0.018878,0.00010000,120.83
94,188658,0.019993,0.00010000,119.10
95,190665,0.018888,0.00010000,119.67
96,192672,0.019297,0.00010000,118.94
97,194679,0.019904,0.00010000,118.67
98,196686,0.019269,0.00010000,120.80
99,198693,0.019331,0.00010000,117.06
100,200700,0.018230,0.00010000,120.69
101,202707,0.018576,0.00010000,118.41
102,204714,0.019000,0.00010000,119.74
103,206721,0.019601,0.00010000,119.79
104,208728,0.019476,0.00010000,119.30
105,210735,0.017640,0.00010000,118.12
106,212742,0.018511,0.00010000,115.97
107,214749,0.019348,0.00010000,115.55
108,216756,0.018695,0.00010000,117.28
109,218763,0.017851,0.00010000,121.31
110,220770,0.018084,0.00010000,120.95
111,222777,0.018679,0.00010000,119.08
112,224784,0.018399,0.00010000,118.54
113,226791,0.018577,0.00010000,116.27
114,228798,0.019491,0.00010000,120.44
115,230805,0.018815,0.00010000,120.97
116,232812,0.018689,0.00010000,118.22
117,234819,0.018756,0.00010000,120.19
118,236826,0.018557,0.00010000,119.65
119,238833,0.018660,0.00010000,119.94
120,240840,0.018254,0.00010000,120.72
121,242847,0.018384,0.00010000,120.49
122,244854,0.017239,0.00010000,120.25
123,246861,0.017597,0.00010000,120.12
124,248868,0.019145,0.00010000,118.75
125,250875,0.017934,0.00010000,118.66
126,252882,0.017841,0.00010000,118.72
127,254889,0.017501,0.00010000,120.07
128,256896,0.017918,0.00010000,121.09
129,258903,0.017720,0.00010000,121.11
130,260910,0.018018,0.00010000,115.21
131,262917,0.017485,0.00010000,115.89
132,264924,0.017391,0.00010000,120.41
133,266931,0.017577,0.00010000,120.31
134,268938,0.016693,0.00010000,118.59
135,270945,0.017391,0.00010000,121.07
136,272952,0.017330,0.00010000,117.11
137,274959,0.017061,0.00010000,118.69
138,276966,0.018086,0.00010000,117.68
139,278973,0.016793,0.00010000,117.21
140,280980,0.016577,0.00010000,116.83
141,282987,0.017535,0.00010000,117.56
142,284994,0.017552,0.00010000,119.42
143,287001,0.017470,0.00010000,119.77
144,289008,0.016685,0.00010000,120.72
145,291015,0.017358,0.00010000,118.83
146,293022,0.016479,0.00010000,119.17
147,295029,0.016950,0.00010000,119.41
148,297036,0.017079,0.00010000,113.94
149,299043,0.017435,0.00010000,114.89
150,301050,0.016719,0.00010000,119.03
151,303057,0.017213,0.00010000,121.02
152,305064,0.015944,0.00010000,120.84
153,307071,0.016653,0.00010000,120.97
154,309078,0.016473,0.00010000,120.72
155,311085,0.016991,0.00010000,118.48
156,313092,0.016979,0.00010000,119.30
157,315099,0.017079,0.00010000,118.60
158,317106,0.016355,0.00010000,119.41
159,319113,0.016718,0.00010000,119.52
160,321120,0.017069,0.00010000,119.20
161,323127,0.016224,0.00010000,114.25
162,325134,0.016160,0.00010000,110.62
163,327141,0.016813,0.00010000,111.17
164,329148,0.016853,0.00010000,109.65
165,331155,0.016210,0.00010000,112.29
166,333162,0.016059,0.00010000,113.06
167,335169,0.016995,0.00010000,112.75
168,337176,0.016428,0.00010000,107.25
169,339183,0.016623,0.00010000,110.60
170,341190,0.015290,0.00010000,109.50
171,343197,0.016213,0.00010000,110.31
172,345204,0.015915,0.00010000,114.28
173,347211,0.016704,0.00010000,111.59
174,349218,0.016916,0.00010000,110.04
175,351225,0.016086,0.00010000,114.33
176,353232,0.016169,0.00010000,111.83
177,355239,0.015612,0.00010000,114.32
178,357246,0.015878,0.00010000,111.03
179,359253,0.015737,0.00010000,111.04
180,361260,0.015322,0.00010000,110.07
181,363267,0.016610,0.00010000,112.05
182,365274,0.015671,0.00010000,109.40
183,367281,0.016098,0.00010000,110.46
184,369288,0.016359,0.00010000,110.88
185,371295,0.015788,0.00010000,108.26
186,373302,0.016367,0.00010000,110.22
187,375309,0.016236,0.00010000,113.83
188,377316,0.015387,0.00010000,116.14
189,379323,0.015125,0.00010000,114.90
190,381330,0.015426,0.00010000,115.01
191,383337,0.016603,0.00010000,114.78
192,385344,0.016199,0.00010000,114.27
193,387351,0.015564,0.00010000,115.78
194,389358,0.016606,0.00010000,111.93
195,391365,0.015261,0.00010000,113.24
196,393372,0.015917,0.00010000,115.85
197,395379,0.015888,0.00010000,114.75
198,397386,0.015888,0.00010000,116.81
199,399393,0.015038,0.00010000,114.59
200,401400,0.015207,0.00010000,114.49
